feature,shap_importance
feature_1,4521440136.893136
feature_2,4045546822.2709203
feature_3,2237627478.0523667
feature_11,1316969585.840991
feature_7,1178114883.835283
feature_8,1102310309.464652
feature_6,885741567.6111091
feature_4,817347904.1908025
feature_9,660298200.0985581
feature_5,222108375.0964634
feature_10,146510085.81777298
feature_133,711.6341030641717
feature_153,657.7749911545418
feature_154,650.1808279439261
feature_163,643.859342161755
feature_124,618.4651023302846
feature_82,613.2015711590166
feature_86,609.984993757193
feature_118,592.4482907892316
feature_56,565.90417860039
feature_135,553.0461849355405
feature_156,543.7780720891853
feature_121,542.2621819622113
feature_142,540.8279823729208
feature_103,531.7699811160498
feature_123,525.5152297048893
feature_138,524.8340433438891
feature_55,519.7832885787126
feature_128,518.3440817757079
feature_174,514.3436920225016
feature_77,513.1993797960639
feature_173,509.90008665051585
feature_98,493.93939396513974
feature_119,484.7472609819441
feature_127,483.9772613700822
feature_85,478.9229384404965
feature_134,477.85265550827796
feature_162,471.94719432991616
feature_136,451.3209087001108
feature_132,449.1361341227341
feature_78,423.11824145234857
feature_120,405.308003461328
feature_175,398.07232191508723
feature_155,396.80483712777857
feature_143,395.39385863919097
feature_183,384.09185856917526
feature_107,380.09724997748975
feature_57,372.012738230199
feature_99,369.0853305216849
feature_83,360.455153163802
feature_157,357.90332984934236
feature_100,356.91246624128576
feature_97,354.8476928082625
feature_76,350.09336309704656
feature_79,345.1687928350263
feature_176,342.10107820644123
feature_81,334.47220755752016
feature_87,331.0195370296913
feature_102,329.0420172537523
feature_125,327.6755989918704
feature_166,325.74784485338483
feature_54,321.44354355047153
feature_242,317.2540332595564
feature_106,314.3937959136833
feature_201,311.3420508233077
feature_187,304.3031994273368
feature_139,302.33540266207166
feature_228,300.0559321432984
feature_236,294.91546426539765
feature_146,290.5720290908907
feature_194,288.5018926274604
feature_61,285.47441517711286
feature_263,285.21803295100773
feature_320,285.1685321033882
feature_145,282.35254156958337
feature_202,269.63501154805283
feature_117,266.3314254064978
feature_241,262.80403734608115
feature_207,258.1035041693318
feature_104,258.10075413792947
feature_164,255.85384938062924
feature_243,254.81655232442142
feature_340,250.00975724760838
feature_222,248.96959525924981
feature_62,247.4349252311679
feature_208,247.13273076565014
feature_197,246.8835165875227
feature_264,242.14987167715944
feature_195,239.11007528263465
feature_167,238.08609578237215
feature_223,237.65740409999734
feature_341,234.83357011523876
feature_196,229.60497616768822
feature_215,229.44000740542737
feature_216,227.79558045580936
feature_361,227.27204764933708
feature_180,225.78942876999443
feature_182,212.13512460482843
feature_262,211.86543432010447
feature_356,209.89405598048646
feature_229,209.75226999291468
feature_237,208.30721498720334
feature_42,205.43174601949863
feature_65,204.25822245823875
feature_284,203.08192332241228
feature_141,201.8459080578913
feature_137,199.86465993503455
feature_188,198.41033799153402
feature_165,196.37700768712855
feature_35,195.56436499608625
feature_41,194.1674087963916
feature_177,194.11448846052627
feature_159,193.94780985472784
feature_34,193.6248730085943
feature_319,193.05229571446327
feature_278,191.19477720165636
feature_66,187.52551280825156
feature_279,184.21498428109317
feature_240,183.39259432810636
feature_235,182.4301716346534
feature_299,180.73854651242334
feature_149,180.7090878959055
feature_283,179.60270003603347
feature_335,178.57141587288842
feature_172,178.38323815509273
feature_198,177.75528956599743
feature_315,177.05344568104462
feature_221,175.248634438684
feature_101,173.624905366263
feature_193,170.57635426970785
feature_360,170.09488803049516
feature_144,169.7574825257149
feature_58,167.44255923573388
feature_232,164.73149709169041
feature_186,161.60727980036364
feature_321,161.33552783395015
feature_147,161.1547468276438
feature_252,161.15456458621816
feature_381,159.7845298391824
feature_382,159.31589947381917
feature_53,158.75323363245414
feature_71,158.40621501512294
feature_314,157.1440510197427
feature_285,157.13043264723487
feature_300,156.56800463797057
feature_273,153.1048610237904
feature_303,152.15507269546697
feature_355,151.3900834746305
feature_36,151.0910375030004
feature_211,150.7582464019577
feature_80,149.96766288896293
feature_130,148.45989072291758
feature_158,147.108432819751
feature_434,146.9533247339776
feature_256,146.48053211791972
feature_248,146.2599068269175
feature_217,145.28316761355484
feature_339,144.94740214166774
feature_257,142.3037315537086
feature_302,140.47578499420192
feature_200,140.09287471652473
feature_231,139.63774233876728
feature_269,138.23441614121745
feature_75,136.87980142941385
feature_13,136.6258409141988
feature_94,136.07237199571335
feature_282,135.83289744547804
feature_181,135.1308991491994
feature_298,134.37521428787326
feature_249,134.30083136478254
feature_224,134.0734259127456
feature_64,133.14583382336613
feature_72,132.6957047140803
feature_22,131.5237643237773
feature_184,131.32472516250172
feature_258,130.75850928431726
feature_204,129.6723281101584
feature_189,129.31009734218247
feature_179,128.52458508915848
feature_403,128.09137438773467
feature_220,127.45685336441478
feature_70,125.53294853284525
feature_84,124.75379536019801
feature_323,123.77377087511324
feature_148,123.67372700207927
feature_277,122.05600510070765
feature_191,121.4182711175002
feature_244,121.28141777947441
feature_376,120.84288346101157
feature_226,120.01771787248524
feature_413,117.61911852719733
feature_336,117.54245195613034
feature_93,116.12445170599133
feature_68,114.02145195511389
feature_227,111.32063463566682
feature_259,111.30738038610241
feature_122,109.69397737100374
feature_377,108.64315512021624
feature_115,107.80437460112239
feature_342,107.23750431676184
feature_151,107.15871461880467
feature_329,106.51576036892624
feature_362,105.67431397977067
feature_294,105.07640853979849
feature_109,104.3956472820599
feature_209,104.31976043968803
feature_168,104.12503027100031
feature_59,103.96768425603128
feature_37,103.87843770461197
feature_39,103.68932076757862
feature_238,102.99158707258928
feature_14,102.81619038762113
feature_272,102.7464339867537
feature_444,101.1169740313119
feature_89,101.06298757516613
feature_402,100.03827028910695
feature_261,99.93904980154734
feature_23,98.76460285341767
feature_96,97.4264341359765
feature_275,96.93263971573693
feature_253,96.22896247805375
feature_150,95.59196517824262
feature_38,95.56011073473748
feature_387,95.218472822274
feature_281,95.07092853899145
feature_324,94.19748270432584
feature_265,94.11364790607479
feature_219,93.21976408779757
feature_423,92.97661563385275
feature_225,90.18484366634553
feature_334,90.17269264749956
feature_383,89.83727673669276
feature_116,89.36998342772655
feature_214,88.86169034137397
feature_330,88.56470461179042
feature_60,88.40244975787151
feature_95,88.38775215414208
feature_414,88.15696571794751
feature_21,85.00650590087092
feature_289,84.7976995185966
feature_33,83.46740316469153
feature_43,83.19772703788762
feature_404,82.35723262229158
feature_318,79.87741849739459
feature_388,78.78767987317002
feature_346,78.47217791951779
feature_49,78.38925869248321
feature_290,77.71190046079788
feature_422,76.9391401984081
feature_407,76.04850474269395
feature_424,75.92310125459078
feature_371,75.8148586614863
feature_439,75.08368375215915
feature_88,74.8451769558764
feature_345,74.52386808688101
feature_350,73.23649904718312
feature_393,73.1915067696182
feature_440,72.99448441410605
feature_304,72.44517030616306
feature_435,72.37831174554772
feature_370,71.73448191986876
feature_386,71.50762756868102
feature_357,71.04102337259997
feature_140,70.87942814396084
feature_408,69.295258503009
feature_152,68.86204326066841
feature_270,67.70428375051873
feature_250,67.25273803360317
feature_385,66.2926698077922
feature_310,65.47723575871959
feature_296,64.34123021598738
feature_438,61.33155584845227
feature_105,61.08473685691793
feature_397,60.68600709347346
feature_63,60.51763788009759
feature_325,59.51826196753743
feature_192,59.27339476579919
feature_267,58.36888006162585
feature_406,58.348216149870275
feature_29,58.32807133546541
feature_47,57.95626186206817
feature_313,57.623636794995335
feature_400,57.1492360122931
feature_12,56.397940906678315
feature_429,56.17468339928866
feature_344,56.16141174936154
feature_399,55.217325847616976
feature_441,54.720854292257954
feature_366,54.57008687785605
feature_274,54.557356309551366
feature_212,54.41139532038867
feature_239,54.35161344769702
feature_365,53.504611505566885
feature_246,53.50349530924723
feature_74,52.575421346999434
feature_51,51.9470743174443
feature_293,51.633982057074185
feature_306,51.60677187956612
feature_108,51.57400444332843
feature_46,51.53985969675246
feature_230,50.734166848280104
feature_305,49.72839114032632
feature_391,49.41169782527581
feature_297,49.383818330554874
feature_114,49.3620569777648
feature_169,49.149191231997015
feature_30,48.109827033718254
feature_286,47.19762716867708
feature_309,46.52180487859175
feature_417,46.51029216666872
feature_326,44.64897622072374
feature_322,44.56190293485608
feature_338,44.53606247857795
feature_364,43.574626927608215
feature_428,42.93413710633682
feature_24,42.80851297738059
feature_44,42.79952774843081
feature_254,42.54991302304385
feature_205,41.85702595465561
feature_331,40.94676419124168
feature_359,40.704957710787326
feature_333,40.64798120619818
feature_69,39.76879258507041
feature_90,39.46176026099473
