feature,shap_importance
feature_185,0.2559482
feature_182,0.09596181
feature_191,0.079282485
feature_14,0.04799194
feature_190,0.04771982
feature_261,0.04457264
feature_173,0.040458426
feature_243,0.03393462
feature_260,0.024333226
feature_231,0.023215389
feature_273,0.023178963
feature_271,0.022167949
feature_259,0.018711247
feature_195,0.018233204
feature_168,0.017458897
feature_237,0.016614573
feature_333,0.016412366
feature_13,0.015866738
feature_230,0.014584706
feature_233,0.014177099
feature_326,0.013524231
feature_186,0.013443929
feature_188,0.012316746
feature_192,0.012220821
feature_263,0.0117576765
feature_318,0.010715119
feature_5,0.010356488
feature_193,0.010093007
feature_312,0.009786243
feature_136,0.009394885
feature_305,0.009195405
feature_10,0.009181436
feature_235,0.008952267
feature_222,0.008783978
feature_272,0.008405493
feature_22,0.00830515
feature_265,0.008228308
feature_187,0.00819224
feature_210,0.00809168
feature_121,0.007828024
feature_408,0.007805146
feature_83,0.0077878344
feature_1,0.0077388044
feature_20,0.0067234696
feature_373,0.0065909512
feature_64,0.00646063
feature_150,0.006327369
feature_142,0.006233536
feature_166,0.006173521
feature_245,0.0060812724
feature_16,0.006009021
feature_204,0.0058943853
feature_74,0.005397136
feature_308,0.005246963
feature_65,0.0052439105
feature_208,0.0051394827
feature_107,0.005138326
feature_284,0.0050455364
feature_354,0.004870834
feature_200,0.0047504217
feature_209,0.0047249347
feature_77,0.0046139746
feature_11,0.0046104863
feature_439,0.0045908717
feature_215,0.00442649
feature_57,0.0042692246
feature_329,0.00425413
feature_352,0.0042377105
feature_372,0.004083422
feature_232,0.003961753
feature_338,0.0039028025
feature_162,0.0038539267
feature_269,0.00380997
feature_374,0.0035765495
feature_238,0.0035314176
feature_431,0.0035246257
feature_213,0.0034439375
feature_94,0.0034437526
feature_198,0.0032898036
feature_202,0.0032887817
feature_220,0.0032323294
feature_236,0.003219563
feature_99,0.0031902639
feature_278,0.0031022644
feature_247,0.0030883655
feature_355,0.0030430586
feature_255,0.003041818
feature_62,0.0030366927
feature_123,0.0030329283
feature_194,0.0030072366
feature_419,0.0029826288
feature_184,0.0029770732
feature_205,0.00295106
feature_211,0.002926515
feature_332,0.0029039523
feature_138,0.0029005355
feature_225,0.0028985983
feature_201,0.0028733218
feature_307,0.002834283
feature_380,0.002833266
feature_18,0.0027881225
feature_137,0.0027761622
feature_262,0.002659493
feature_234,0.002626665
feature_227,0.0025710629
feature_325,0.002550784
feature_131,0.0025140638
feature_353,0.0025116096
feature_30,0.002503597
feature_148,0.0024987604
feature_38,0.0024947256
feature_85,0.002489119
feature_214,0.0024826168
feature_280,0.0024664595
feature_53,0.002463914
feature_241,0.0024287228
feature_181,0.0023009041
feature_59,0.002289294
feature_178,0.002236172
feature_78,0.0022132182
feature_221,0.0022004186
feature_250,0.0021846537
feature_115,0.0021068356
feature_86,0.0021061192
feature_144,0.0020758638
feature_414,0.0020438556
feature_295,0.0020294562
feature_160,0.0020240124
feature_302,0.001943366
feature_212,0.0019407384
feature_433,0.001934702
feature_175,0.0019177782
feature_418,0.0019176555
feature_163,0.0018944148
feature_70,0.0018804611
feature_345,0.0018261753
feature_399,0.0017918311
feature_9,0.0017880144
feature_349,0.0017751063
feature_149,0.0017671111
feature_79,0.0017324348
feature_297,0.0017025374
feature_47,0.0016903178
feature_430,0.0016762496
feature_228,0.0016306028
feature_147,0.001628268
feature_426,0.0016169937
feature_346,0.0016091913
feature_72,0.0015781174
feature_270,0.0015755934
feature_268,0.0015705901
feature_390,0.001536122
feature_441,0.0015286109
feature_223,0.0015045106
feature_106,0.0015036396
feature_427,0.0014662695
feature_101,0.001455823
feature_435,0.0014361206
feature_362,0.0014338024
feature_69,0.0014154271
feature_29,0.0014052097
feature_203,0.0013379209
feature_407,0.0013342088
feature_169,0.0013243499
feature_289,0.0012865104
feature_417,0.001279832
feature_424,0.0012691935
feature_197,0.0012673616
feature_135,0.0012263199
feature_296,0.0012211778
feature_27,0.001194532
feature_108,0.0011881237
feature_401,0.0011803053
feature_15,0.0011782579
feature_411,0.0011629015
feature_126,0.0011614559
feature_282,0.0011581305
feature_146,0.0011400175
feature_341,0.001116827
feature_75,0.0011149666
feature_90,0.0011016808
feature_344,0.0010950288
feature_180,0.0010821926
feature_177,0.0010767565
feature_164,0.0010690466
feature_216,0.0010351894
feature_229,0.0010282971
