feature,mean_importance
feature_358,3.2353042745647544e-05
feature_374,0.09305871914807984
feature_375,7.301622406347073
feature_28,11.26371190370599
feature_308,18.25725907984836
feature_412,20.703006571943625
feature_415,23.13210501854603
feature_384,24.60178969748572
feature_425,25.90723181188727
feature_420,26.02595572307577
feature_19,28.16815124246807
feature_363,35.05386419881977
feature_327,40.82095599995597
feature_394,44.640085132582
feature_337,51.64788621902035
feature_17,53.415698613195005
feature_112,56.75752884875126
feature_419,63.60269328202175
feature_301,65.09667671535033
feature_233,66.23117308011263
feature_67,77.50333250827192
feature_378,101.18018915616292
feature_206,111.28027286397908
feature_190,118.34451124727111
feature_266,132.60416333503662
feature_368,134.06803515071618
feature_18,186.1389278905024
feature_353,199.1121445196124
feature_416,219.85883396289142
feature_260,247.92026774263974
feature_343,259.8802147296875
feature_113,284.42772938434376
feature_411,325.7119330975626
feature_311,327.4862356990615
feature_352,332.144193602193
feature_16,384.31078007073074
feature_295,386.42024761143085
feature_291,397.26516123198803
feature_255,406.3493331175233
feature_288,418.71335772452085
feature_401,432.16942394030775
feature_433,465.32608199389927
feature_27,507.96940222579406
feature_436,520.7779749068286
feature_396,549.6011895181947
feature_392,621.4935686292753
feature_245,628.8313418055985
feature_247,699.6010377111027
feature_373,724.5842254011774
feature_317,761.3008136155318
feature_395,768.0751424786821
feature_91,776.9179391611851
feature_398,823.7743544204208
feature_110,946.0805961614527
feature_390,962.2826151827354
feature_171,974.6833708523012
feature_170,1013.9465866648334
feature_426,1023.9706493393594
feature_271,1058.6322508295318
feature_129,1169.0934885306465
feature_442,1288.2435723651638
feature_126,1295.1665839433813
feature_369,1309.0901253628308
feature_410,1369.0529743519896
feature_73,1394.4895810498615
feature_372,1439.8993080577077
feature_307,1476.2191255672255
feature_405,1479.4941541451012
feature_354,1502.281003801714
feature_287,1618.9117822177736
feature_199,1644.6255665659603
feature_111,1665.1286715140752
feature_131,1686.4715381703172
feature_421,1731.0599939990777
feature_316,1758.3649249492476
feature_15,1844.835559640021
feature_160,1912.893477167104
feature_92,1999.238000816471
feature_234,2046.4845973901488
feature_379,2049.523026393464
feature_348,2060.834203927974
feature_178,2066.55682693857
feature_45,2070.143310802837
feature_432,2191.850000215731
feature_292,2228.190926057644
feature_347,2411.673039609641
feature_251,2461.9210600339934
feature_389,2522.362229953691
feature_409,2583.455444053431
feature_40,2616.840510944145
feature_48,2698.975400593024
feature_213,2953.645923698935
feature_332,3003.378935987611
feature_443,3297.0271087211268
feature_25,3324.358081370774
feature_437,3333.545092451357
feature_312,3493.7922500569052
feature_351,3495.595177337981
feature_31,3558.5075879174883
feature_20,3647.502743302049
feature_26,3757.5086737662846
feature_185,3826.5347271395585
feature_276,3859.115120998637
feature_280,3903.157983683929
feature_210,3903.9705444356405
feature_328,3947.6616084045572
feature_367,3966.4426314383263
feature_203,4067.600342782617
feature_268,4120.404031751729
feature_161,4183.023901064069
feature_218,4202.434474544196
feature_32,4238.797256582393
feature_430,4279.586132322465
feature_349,4446.094473709115
feature_427,4451.805769416854
feature_431,4556.903111682639
feature_90,4626.687906772112
feature_50,4844.039255576626
feature_69,4991.607848907473
feature_52,5070.0150542426545
feature_418,5123.176941290641
feature_380,5279.756456874687
feature_359,5713.731041477734
feature_333,5751.892215893728
feature_331,5816.029002220992
feature_254,6000.298813834938
feature_428,6064.6049276864105
feature_364,6503.884176014792
feature_44,6621.67728181553
feature_205,6792.588987558658
feature_114,6809.203017582989
feature_322,6896.614635369874
feature_326,6924.369240073944
feature_338,6949.9787791838535
feature_417,7182.579494981229
