feature,mean_importance
feature_13,-0.0077375401126916765
feature_215,-0.003933015211616486
feature_195,-0.003515047725656495
feature_14,-0.0035136172323612324
feature_265,-0.0028787538433263093
feature_99,-0.0025287225523630717
feature_345,-0.002045833184611945
feature_439,-0.0018857924074736521
feature_212,-0.0018742841000214173
feature_108,-0.0016254481122768504
feature_373,-0.001608577196368932
feature_62,-0.0015766161832690751
feature_121,-0.0015443465021315107
feature_312,-0.0015293030250415063
feature_5,-0.0014833959528165908
feature_38,-0.0014436753377815692
feature_9,-0.0014034795180646654
feature_225,-0.0013593808243702599
feature_268,-0.00132195888091996
feature_187,-0.0012978437958437005
feature_115,-0.0012376281542398004
feature_417,-0.0011989965946882398
feature_211,-0.0011867995600513214
feature_78,-0.001178843315363398
feature_235,-0.001116511470136161
feature_205,-0.0010785614694407974
feature_341,-0.0010680110167966771
feature_372,-0.0010282858353943603
feature_70,-0.0010105321409252133
feature_178,-0.0010056558095381419
feature_175,-0.0009962161508854429
feature_52,-0.0009940689955122428
feature_430,-0.0009852906565089193
feature_226,-0.000955312300372968
feature_426,-0.0008989944489349533
feature_86,-0.0008636348342697886
feature_106,-0.0008578450156831119
feature_272,-0.0007848628817144654
feature_69,-0.0007798829134377572
feature_171,-0.0007459633155381118
feature_164,-0.0007380095247157548
feature_344,-0.000682849773554084
feature_270,-0.0006413729186437011
feature_279,-0.0006409148457887537
feature_11,-0.0005937625098217381
feature_442,-0.0005893911960976883
feature_118,-0.0005696312355271238
feature_29,-0.0005608567617020332
feature_192,-0.0005495163504307899
feature_85,-0.0005430802967683168
feature_401,-0.0005249014279053221
feature_404,-0.0005190677736775062
feature_16,-0.00048488905521976156
feature_254,-0.0004842420931569946
feature_414,-0.0004831398794469588
feature_282,-0.00044530979889697566
feature_160,-0.0004138233481557396
feature_332,-0.00040521667603802267
feature_424,-0.0004051248890496684
feature_6,-0.00040182379669414516
feature_145,-0.00039427449411419955
feature_162,-0.00038701419441554695
feature_133,-0.0003835321748373643
feature_15,-0.0003794685781748575
feature_250,-0.0003619528086796775
feature_64,-0.0003422750687918641
feature_395,-0.0003354736603627839
feature_218,-0.00033469447864644677
feature_299,-0.0003276551714698095
feature_197,-0.0003077281833193335
