feature,mean_importance
feature_323,-0.0026606576355511892
feature_317,-0.001967413996422218
feature_321,-0.0019174973340681412
feature_307,-0.0018508172075327068
feature_335,-0.0018257661307173434
feature_313,-0.0016326465340999574
feature_311,-0.0015952257750657451
feature_346,-0.0014960212298022134
feature_345,-0.0014846459737754892
feature_341,-0.0014148936887432573
feature_275,-0.001386403962454752
feature_261,-0.001363600141085808
feature_287,-0.0013309663588968457
feature_329,-0.001328661498336614
feature_301,-0.0012555691430630844
feature_339,-0.0012423482286346044
feature_277,-0.0012417879425256739
feature_306,-0.0012190732965602137
feature_265,-0.0012031205885563168
feature_316,-0.0010917868342472659
feature_189,-0.0010691889061263948
feature_191,-0.0010649325987855285
feature_177,-0.001058624760530158
feature_327,-0.0010561397435274067
feature_303,-0.001047314330016147
feature_199,-0.0010345791054843013
feature_185,-0.00101209970047067
feature_300,-0.0010065708734158906
feature_293,-0.0010052904438640597
feature_176,-0.0009950560137960585
feature_280,-0.000993445168679985
feature_312,-0.0009628209924830156
feature_272,-0.0009353377787876483
feature_285,-0.0009023802430400795
feature_302,-0.0008506211404137431
feature_281,-0.0008022756421561583
feature_192,-0.0007978423641216814
feature_267,-0.0007652920482800418
feature_292,-0.0007515708302108903
feature_325,-0.0007484631853261536
feature_190,-0.0007402115014202959
feature_188,-0.0007347644997699687
feature_183,-0.0006987647747640935
feature_201,-0.0006794015955454257
feature_203,-0.0006766872123784573
feature_159,-0.0006704480716689832
feature_263,-0.0006613920111620652
feature_276,-0.0006457669108422603
feature_180,-0.0006387886104639584
feature_164,-0.0006311832191399746
feature_315,-0.000631038656601457
feature_167,-0.0006277966501120336
feature_205,-0.0006117498394279996
feature_206,-0.0006041345318327674
feature_196,-0.0005905191696141454
feature_320,-0.0005833389851940263
feature_158,-0.0005811018741596063
feature_193,-0.0005569477685408053
feature_197,-0.0005395687571975837
feature_278,-0.0005363455935595507
feature_186,-0.0005162979335644024
feature_200,-0.0005130946991114937
feature_160,-0.0005022337926882337
feature_165,-0.00045988620486827616
feature_4,-0.00042716428538309704
feature_162,-0.0004130169767840197
feature_178,-0.0004089260821985574
feature_151,-0.00039933165640442246
feature_148,-0.00039567356981036196
feature_209,-0.0003839150484772569
feature_279,-0.00037119363117978923
feature_289,-0.0003670459440305862
feature_174,-0.00036269983456713726
feature_163,-0.0003512862266319194
feature_207,-0.00034503943731145625
feature_152,-0.0003424338893468715
feature_153,-0.00033718488805958293
feature_10,-0.00031976137584190936
feature_169,-0.00031660612168078474
feature_69,-0.00031555806614000923
feature_89,-0.00030301187489343293
feature_73,-0.0003014848233593881
feature_156,-0.00029845156865893063
feature_56,-0.0002978502854963594
feature_137,-0.00029594473069989303
feature_270,-0.0002956893666160143
feature_181,-0.0002937919355882057
feature_298,-0.00028906293820589734
feature_132,-0.000286471073027883
feature_170,-0.00028428101567878894
feature_187,-0.00027676746030260715
feature_6,-0.00027531082408767117
feature_141,-0.0002612930075552189
