feature,mean_importance
feature_185,-0.005683995867609148
feature_197,-0.005465028060611554
feature_186,-0.005278481336525453
feature_183,-0.005239871597301171
feature_199,-0.004691749322991401
feature_188,-0.0046086179239348875
feature_196,-0.0040059130084284635
feature_187,-0.00336799807145195
feature_198,-0.003246076270477205
feature_189,-0.002640655817394877
feature_179,-0.0024837390363615986
feature_84,-0.002329952323848694
feature_173,-0.002302866346359811
feature_195,-0.0021795079388929883
feature_178,-0.002158007149999108
feature_184,-0.0021325101754288813
feature_13,-0.0021057215119255402
feature_169,-0.001939252171439254
feature_171,-0.0016855797338319433
feature_177,-0.001681295822715323
feature_200,-0.0015568837971091875
feature_168,-0.0014495177215849697
feature_181,-0.0011675532515590726
feature_167,-0.0011589032095005503
feature_213,-0.001155353531658454
feature_202,-0.0011264264323244898
feature_182,-0.0011214830696148481
feature_176,-0.0009706477176279815
feature_215,-0.0009295329495621174
feature_170,-0.0009229317397627223
feature_210,-0.0008709369119616506
feature_174,-0.0007912484899866623
feature_209,-0.0007697614503373474
feature_205,-0.0007313404333520124
feature_82,-0.0007264098237844685
feature_16,-0.0007180697805636682
feature_194,-0.0006847709988523687
feature_172,-0.00064405370588555
feature_201,-0.0006343774758706955
feature_206,-0.0006320587604484284
feature_175,-0.0005637642195541082
feature_207,-0.0005554688747123726
feature_211,-0.0005514665093044879
feature_165,-0.0005494537236957475
feature_49,-0.0005457948429184456
feature_56,-0.0005389480263620405
feature_154,-0.0005328976239002969
feature_12,-0.0005082161322993662
feature_46,-0.00045726662638161385
feature_94,-0.00044697919183590563
feature_90,-0.00043913679939029394
feature_19,-0.0004322676189058683
feature_113,-0.00042700514902983545
feature_88,-0.0004028621398470489
feature_57,-0.0003963942144867727
feature_161,-0.00039177668176145766
feature_27,-0.00038779276193173784
feature_208,-0.0003847571254985582
feature_60,-0.0003601245822307253
feature_276,-0.0003423814465273067
feature_83,-0.000338675369542818
feature_81,-0.00031720162184382115
feature_316,-0.0003132853695514859
feature_180,-0.00030335094098109526
feature_116,-0.00029848426875317413
feature_10,-0.000292118840186284
feature_78,-0.0002879737161257223
feature_11,-0.0002868421187616543
feature_152,-0.0002734957350504774
feature_283,-0.0002703515250342181
feature_36,-0.00026652730187897155
feature_214,-0.0002661208533399462
feature_91,-0.0002561087333242784
feature_51,-0.00023860251669309828
feature_25,-0.0002383457114097931
feature_98,-0.0002344466178944127
feature_159,-0.0002312893496512758
feature_122,-0.00023064711216600476
feature_163,-0.00022961797540684836
feature_55,-0.00022821530851437898
feature_89,-0.00022820916890001764
feature_123,-0.00022605179079341343
feature_21,-0.00022391973916242592
feature_124,-0.00022160030353499672
feature_164,-0.0002212528991112239
feature_58,-0.00021135839051790174
feature_93,-0.00021038356757693277
feature_128,-0.00020542395052268735
feature_203,-0.00020486863544777467
feature_228,-0.00020376105036155057
feature_110,-0.0002004659786191354
feature_39,-0.00018867849568497962
feature_14,-0.00018767654241017562
feature_222,-0.0001825585734961499
feature_67,-0.00018216848365977257
feature_20,-0.0001741503099742192
