iter	RMSE
0	2.563563493
1	2.516402646
2	2.471035875
3	2.425876578
4	2.379974858
5	2.341111613
6	2.302825229
7	2.261327681
8	2.219395699
9	2.163700663
10	2.130337346
11	2.099176772
12	2.06478472
13	2.033917626
14	2.004084089
15	1.976153051
16	1.949008598
17	1.924460335
18	1.896997195
19	1.871613931
20	1.847182678
21	1.82395955
22	1.80238878
23	1.783027889
24	1.764937278
25	1.743700788
26	1.725617232
27	1.707570813
28	1.690218752
29	1.673823771
30	1.65547761
31	1.641214678
32	1.62646824
33	1.61047959
34	1.59567843
35	1.58437348
36	1.573364316
37	1.559022892
38	1.547055386
39	1.535036664
40	1.52376078
41	1.41	1.511842261
42	1.500452416
43	1.489721089
44	1.479870203
45	1.470480136
46	1.461862302
47	1.452809856
48	1.443565589
49	1.434503036
50	1.427351	1.418468818
52	1.411178779
53	1.404491538
54	1.395965418
55	1.388395372
56	1.381844332
57	1.375720057
58	1.368813932
59	1.361410672
60	1.355392458
61	1.350468301
62	1.345333569
63	1.341492718
64	1.335977187
65	1.331256793
66	1.326766273
67	1.322139852
68	1.317031736
69	1.311291349
70	1.306923191
71	1.300243235
72	1.295232092
73	1.290645467
74	1.286280503
75	1.280860772
76	1.276589385
77	1.272160883
78	1.268214399
79	1.265231612
80	1.26138281
81	1.257622016
82	1.253851334
83	1.250197959
84	1.246402965
85	1.242554361
86	1.238827174
87	1.235488424
88	1.232791069
89	1.229237179
90	1.225763902
91	1.222962252
92	1.220328786
93	1.217342509
94	1.214242343
95	1.211014901
96	1.208124754
97	1.205640007
98	1.202979726
99	1.200227549
100	1.197008527
101	1.194307939
102	1.191927413
103	1.189794549
104	1.187278032
105	1.185314632
106	1.18263669
107	1.179327624
108	1.177700244
109	1.176277584
110	1.17490164
111	1.172229229
112	1.170262758
113	1.168477013
114	1.166475549
115	1.164858613
116	1.163219378
117	1.161934984
118	1.160300765
119	1.158238775
120	1.155653995
121	1.15385268
122	1.151993079
123	1.149823279
124	1.147560032
125	1.145164937
126	1.143851176
127	1.142068498
128	1.140175214
129	1.138631355
130	1.137259787
131	1.13520615
132	1.133026943
133	1.130769822
134	1.129263833
135	1.127765977
136	1.125866688
137	1.123551802
138	1.122178906
139	1.120541411
140	1.118697308
141	1.116339622
142	1.114213737
143	1.112381514
144	1.11029249
145	1.108396194
146	1.106299451
147	1.105418145
148	1.104160758
149	1.102747533
150	1.101440634
151	1.100697364
152	1.099024547
153	1.098161155
154	1.096845065
155	1.094576421
156	1.092905237
157	1.091614313
158	1.089153615
159	1.087205679
160	1.084885124
161	1.083126755
162	1.082098684
163	1.080450182
164	1.077589729
165	1.076467213
166	1.075443731
167	1.074355909
168	1.072696696
169	1.071639537
170	1.070487888
171	1.068937149
172	1.067961185
173	1.0668663
174	1.065731285
175	1.064506346
176	1.063080806
177	1.061225695
178	1.060449529
179	1.059526942
180	1.059172605
181	1.057626925
182	1.057064271
183	1.054940942
184	1.053382323
185	1.05187348
186	1.051039498
187	1.04907092
188	1.047776748
189	1.046648849
190	1.044885512
191	1.043188125
192	1.042189325
193	1.041321942
194	1.040534036
195	1.038507279
196	1.037239858
197	1.036056731
198	1.034523046
199	1.033100253
200	1.032140259
201	1.029501064
202	1.028541314
203	1.027224642
204	1.026341764
205	1.024580845
206	1.024082261
207	1.022849314
208	1.020025419
209	1.019255175
210	1.01795527
211	1.017095154
212	1.015718172
213	1.015108982
214	1.013926743
215	1.013321773
216	1.012697731
217	1.010763275
218	1.007553112
219	1.00629316
220	1.004783755
221	1.002731369
222	0.9990133311
223	0.9974816472
224	0.996665883
225	0.9954182081
226	0.9948267456
227	0.9936816976
228	0.9932220822
229	0.9918325538
230	0.9902448134
231	0.9891415585
232	0.9881877087
233	0.9866092299
234	0.98532094
235	0.9826967555
236	0.9813888197
237	0.9810924571
238	0.979939284
239	0.9785028496
240	0.97656194
241	0.9760113829
