iter	Passed	Remaining
0	92	92106
1	101	50582
2	110	36853
3	130	32410
4	137	27302
5	140	23306
6	149	21204
7	155	19254
8	8	273	9	436	43187
10	487	43861
11	550	45355
12	646	49110
13	717	50555
14	739	48552
15	760	46788
16	857	49601
17	1004	54817
18	1099	56776
19	1146	56164
20	1151	53698
21	1227	54548
22	1262	53616
23	1332	54168
24	1344	52420
25	1393	52211
26	1425	51381
27	1450	50339
28	1460	48902
29	1466	47420
30	1508	47163
31	1512	45755
32	1553	45530
33	1567	44532
34	1570	43298
35	1573	42145
36	1576	41033
37	1581	40038
38	1614	39782
39	1617	38823
41	1483	33840
42	1495	33282
43	1505	32717
44	1557	33046
45	1596	33108
46	1611	32665
47	1616	32051
48	1619	31422
49	1621	30816
50	1624	30236
51	1634	29796
51	1873	34163
52	1887	33727
53	1959	34335
54	1996	34300
55	2071	34922
56	2074	34325
57	2208	35868
58	2251	35907
59	2256	35357
60	2259	34787
61	2263	34242
62	2266	33715
63	2293	33546
64	2388	34363
65	2439	34517
66	2493	34722
67	68	3041	41068	69	3093	41069	2702	35904
70	2715	35527
71	2763	35621
72	2794	35483
73	2869	35909
74	3023	37290
75	3061	37226
76	3081	36936
77	3153	37280
78	3223	37575
79	3314	38115
80	3318	37652
81	3395	38007
82	3477	38421
83	3482	37975
84	3485	37525
85	3498	37185
86	3584	37613
87	3597	37286
88	3703	37906
89	3773	38150
90	3824	38199
91	3827	37774
92	3830	37355
93	3837	36987
94	3906	37217
95	4030	37957
96	4066	37854
97	4170	38385
98	4179	38038
99	4190	37718
100	4196	37356
101	4201	36988
102	4206	36636
103	4241	36544
104	4278	36470
105	4288	36172
106	4377	36536
107	4388	36248
108	4426	36180
109	4440	35925
110	4450	35646
111	4509	35755
112	4558	35786
113	4583	35625
114	4625	35594
115	4653	35465
116	4673	35272
117	4681	34991
118	4685	34687
119	4694	34423
120	4734	34394
121	4814	34646
122	4969	35434
123	5008	35380
124	5124	35873
125	5173	35888
126	5289	36356
127	5347	36428
128	5350	36123
129	5363	35890
130	5370	35627
131	5375	35349
132	5579	36369
133	5671	36652
134	5730	36719
135	5747	36513
136	5887	37085
137	5893	36811
138	5965	36951
139	5977	36718
140	5984	36459
141	5987	36175
142	5991	35904
143	6039	35902
144	6049	35669
145	6054	35415
146	6154	35712
147	6194	35657
148	6197	35395
149	6282	35598
150	6352	35719
151	6370	35539
152	6480	35874
153	6521	35823
154	6533	35616
155	6680	36145
156	6684	35890
157	6793	36203
158	6806	36000
159	6918	36322
160	6951	36226
161	7052	36479
162	7106	36490
163	7147	36435
164	7153	36203
165	7242	36387
166	7249	36160
167	7267	35991
168	7271	35756
169	7315	35718
170	7325	35515
171	7338	35328
172	7451	35622
173	7493	35574
174	7531	35506
175	7628	35714
176	7634	35500
177	7668	35413
178	7817	35857
179	7852	35774
180	7862	35575
181	7865	35352
182	7875	35160
183	7913	35094
184	7921	34897
185	8010	35057
186	8101	35221
187	8242	35601
188	8291	35580
189	8297	35371
190	8302	35166
191	8337	35086
192	8347	34903
193	8350	34693
194	8359	34510
195	8367	34324
196	8424	34337
197	8496	34414
198	8506	34237
199	8610	34441
200	8678	34497
201	8702	34379
202	8847	34736
203	8863	34586
204	8942	34679
205	8949	34493
206	8972	34371
207	8975	34176
208	9010	34100
209	9013	33907
210	9017	33719
211	9054	33656
212	9130	33735
213	9244	33952
214	9335	34086
215	9385	34064
216	9432	34036
217	9495	34060
218	9502	33888
219	9509	33717
220	9649	34013
221	9670	33889
222	9686	33752
223	9691	33573
224	9717	33469
225	9808	33592
226	9915	33765
227	9919	33585
228	9922	33407
229	9931	33249
230	9941	33094
231	9949	32935
232	9955	32771
233	9969	32633
234	9988	32516
235	9991	32346
236	10000	32194
237	10019	32080
238	10029	31933
239	10039	31792
240	10055	31667
241	10066	31529
242	10071	31375
243	10074	31215
244	10148	31274
245	10261	31452
246	10264	31293
247	10281	31177
248	10415	31414
249	10501	31505
250	10505	31348
251	10508	31191
252	10511	31035
253	10530	30929
254	10539	30792
255	10569	30718
256	10647	30782
257	10682	30721
258	10751	30761
259	10788	30704
260	10795	30565
261	10802	30429
262	10813	30303
263	10890	30362
264	10896	30223
265	10904	30091
266	10907	29945
267	10955	29923
268	11014	29932
269	11047	29869
270	11111	29890
271	11151	29846
272	11191	29803
273	11263	29843
274	11338	29892
275	11380	29853
276	11411	29784
277	11439	29710
278	11444	29576
279	11479	29517
280	11497	29418
281	11641	29640
282	11647	29509
283	11722	29553
284	11792	29583
285	11802	29465
286	11845	29428
287	11894	29404
288	11897	29270
